Velocity,Lean,Pitch,Yaw,Status
33.00923,9.867307E-06,-0.9747314,-2.302781E-06,Not Crashed
28.83263,-71.3884,-1.604614,-41.16956,Crashed
32.04254,-2.253479,-0.3087463,9.53289,Not Crashed
42.68944,25.88037,1.080804,-0.7444763,Crashed
19.18106,-27.6022,-0.7071228,-75.9765,Not Crashed
34.34032,-43.95905,-2.365082,25.09077,Not Crashed
40.14682,-49.43881,-0.8378601,89.15389,Not Crashed
43.19627,-39.18317,-2.428619,167.6664,Not Crashed
45.16498,-41.63358,-1.973755,-146.5919,Not Crashed
34.0771,-34.1586,-2.794708,-89.36801,Not Crashed
15.46138,-10.48419,-0.3366394,-41.24695,Not Crashed
4.702371,0.05047972,-0.6891785,-29.2803,Not Crashed
1.36916,-3.147265E-05,-0.803833,-29.32779,Not Crashed
10.30872,-28.23853,-2.51416,3.231248,Not Crashed
42.32315,23.43804,-2.80484,50.38108,Not Crashed
36.70161,40.73147,-1.141266,11.72739,Not Crashed
39.104,36.38968,0.5172778,-41.6778,Not Crashed
35.88951,71.16138,4.047967,-60.30475,Crashed
14.92625,0.01916711,-0.3604736,-76.09979,Not Crashed
4.267507,0.04384359,-0.7675171,-76.54547,Not Crashed
1.245834,-0.0001761083,-0.8082275,-76.35037,Not Crashed
21.5339,-28.13956,0.2589692,-53.83551,Not Crashed
38.58541,-36.85489,-2.118439,18.9389,Not Crashed
42.21156,-31.31461,0.6341064,71.98273,Not Crashed
48.44179,-29.31754,-2.716156,118.6597,Not Crashed
28.77097,-28.99487,-2.349274,124.2638,Crashed
12.28529,16.08508,-3.883148,115.5347,Not Crashed
31.86384,35.19528,-3.033966,142.3694,Not Crashed
47.01145,35.78232,-2.30304,81.89429,Not Crashed
47.58961,70.11787,-3.321289,52.78558,Crashed
23.91204,-2.036634E-07,6.386941E-08,34.82314,Not Crashed
12.50191,35.29816,0.8815461,-9.170563,Not Crashed
34.62645,3.351155,-3.234497,-149.5901,Not Crashed
51.67881,-5.624542,-2.61795,-132.9554,Not Crashed
52.34961,10.17902,-1.561188,-137.2674,Not Crashed
57.19344,19.46508,-1.91098,-138.8146,Not Crashed
24.57158,70.61682,0.610785,163.6887,Crashed
12.42844,-0.5245972,-5.197052,148.2832,Not Crashed
30.4982,-22.80371,0.8502486,-177.825,Not Crashed
